Time,TIMESTAMP_START,Time_Obs_LA2_2012,GPP_PI_F,RECO_PI_F,NEE_F,FCH4,FCH4_F
15-Dec-2011 23:30:00,201112152330,15-Dec-2011 23:30:00,-0,1.7498,1.8656,20.974,20.974
16-Dec-2011 00:00:00,201112160000,16-Dec-2011 00:00:00,-0.17389,1.73985,1.566,23.589,23.589
16-Dec-2011 00:30:00,201112160030,16-Dec-2011 00:30:00,-0,1.74234,4.0869,35.646,35.646
16-Dec-2011 01:00:00,201112160100,16-Dec-2011 01:00:00,-0,1.74482,1.8231,NaN,21.939
16-Dec-2011 01:30:00,201112160130,16-Dec-2011 01:30:00,-0,1.76287,1.8638,-35.054,-35.054
16-Dec-2011 02:00:00,201112160200,16-Dec-2011 02:00:00,-0,1.77845,1.8456,-36.149,-36.149
16-Dec-2011 02:30:00,201112160230,16-Dec-2011 02:30:00,-0,1.74545,1.8279,NaN,21.939
16-Dec-2011 03:00:00,201112160300,16-Dec-2011 03:00:00,-0.038045,1.72804,1.69,NaN,22.071
16-Dec-2011 03:30:00,201112160330,16-Dec-2011 03:30:00,-0.14463,1.7268,1.5822,NaN,5.25
16-Dec-2011 04:00:00,201112160400,16-Dec-2011 04:00:00,-0.18166,1.71003,1.5284,NaN,22.225
16-Dec-2011 04:30:00,201112160430,16-Dec-2011 04:30:00,-0.5712,2.073,1.5018,NaN,23.441
16-Dec-2011 05:00:00,201112160500,16-Dec-2011 05:00:00,-0,1.95675,2.2148,NaN,-1.2503
16-Dec-2011 05:30:00,201112160530,16-Dec-2011 05:30:00,-0.064921,1.65118,1.5863,NaN,21.693
16-Dec-2011 06:00:00,201112160600,16-Dec-2011 06:00:00,-0,1.94483,1.977,NaN,-1.2503
16-Dec-2011 06:30:00,201112160630,16-Dec-2011 06:30:00,-0,1.93103,1.9466,NaN,-9.975
16-Dec-2011 07:00:00,201112160700,16-Dec-2011 07:00:00,-0.29097,1.92538,1.6344,NaN,6.115
16-Dec-2011 07:30:00,201112160730,16-Dec-2011 07:30:00,-0.23177,1.73985,1.5081,NaN,-0.52975
16-Dec-2011 08:00:00,201112160800,16-Dec-2011 08:00:00,-0,1.84336,2.0061,NaN,NaN
16-Dec-2011 08:30:00,201112160830,16-Dec-2011 08:30:00,-0,1.87339,4.1153,NaN,-10.755
16-Dec-2011 09:00:00,201112160900,16-Dec-2011 09:00:00,-0.26804,2.00007,1.732,48.784,48.784
16-Dec-2011 09:30:00,201112160930,16-Dec-2011 09:30:00,-0.55676,2.07992,1.5232,NaN,37.257
16-Dec-2011 10:00:00,201112161000,16-Dec-2011 10:00:00,-1.0149,2.15795,1.143,23.2,23.2
16-Dec-2011 10:30:00,201112161030,16-Dec-2011 10:30:00,-0,2.22152,2.3922,26.069,26.069
16-Dec-2011 11:00:00,201112161100,16-Dec-2011 11:00:00,-1.3561,2.34672,0.99064,NaN,15.725
16-Dec-2011 11:30:00,201112161130,16-Dec-2011 11:30:00,-0.88877,2.28383,1.3951,23.733,23.733
16-Dec-2011 12:00:00,201112161200,16-Dec-2011 12:00:00,-0.69931,2.30522,1.6059,46.039,46.039
16-Dec-2011 12:30:00,201112161230,16-Dec-2011 12:30:00,-0.60694,2.23411,1.6272,NaN,42.012
16-Dec-2011 13:00:00,201112161300,16-Dec-2011 13:00:00,-1.5399,2.30081,0.76086,NaN,35.32
16-Dec-2011 13:30:00,201112161330,16-Dec-2011 13:30:00,-0.72028,2.19698,1.4767,38.084,38.084
16-Dec-2011 14:00:00,201112161400,16-Dec-2011 14:00:00,-0.95715,2.17998,1.2228,NaN,5.1565
16-Dec-2011 14:30:00,201112161430,16-Dec-2011 14:30:00,-1.0298,2.1869,1.1571,NaN,12.928
16-Dec-2011 15:00:00,201112161500,16-Dec-2011 15:00:00,-0.7854,2.11893,1.3335,NaN,5.1565
16-Dec-2011 15:30:00,201112161530,16-Dec-2011 15:30:00,-0,2.41143,2.687,NaN,13.256
16-Dec-2011 16:00:00,201112161600,16-Dec-2011 16:00:00,-0,2.3266,3.8214,NaN,17.038
16-Dec-2011 16:30:00,201112161630,16-Dec-2011 16:30:00,-0,2.26935,3.2163,NaN,26.544
16-Dec-2011 17:00:00,201112161700,16-Dec-2011 17:00:00,-0,2.21838,6.09,NaN,26.144
16-Dec-2011 17:30:00,201112161730,16-Dec-2011 17:30:00,-0,1.94483,3.8549,NaN,19.803
16-Dec-2011 18:00:00,201112161800,16-Dec-2011 18:00:00,-0,2.12207,2.9659,NaN,23.22
16-Dec-2011 18:30:00,201112161830,16-Dec-2011 18:30:00,-0,1.89969,2.2408,NaN,6.0984
16-Dec-2011 19:00:00,201112161900,16-Dec-2011 19:00:00,-0,1.89843,4.4245,57.392,57.392
16-Dec-2011 19:30:00,201112161930,16-Dec-2011 19:30:00,-0,1.81275,2.2788,NaN,16.955
16-Dec-2011 20:00:00,201112162000,16-Dec-2011 20:00:00,-0,1.73239,2.1909,13.182,13.182
16-Dec-2011 20:30:00,201112162030,16-Dec-2011 20:30:00,-0,1.67778,3.6072,18.123,18.123
16-Dec-2011 21:00:00,201112162100,16-Dec-2011 21:00:00,-0.51457,1.65056,1.136,20.439,20.439
16-Dec-2011 21:30:00,201112162130,16-Dec-2011 21:30:00,-0,1.63141,1.9688,19.142,19.142
16-Dec-2011 22:00:00,201112162200,16-Dec-2011 22:00:00,-0,1.61845,1.6645,NaN,24.592
16-Dec-2011 22:30:00,201112162230,16-Dec-2011 22:30:00,-0,1.60859,2.565,32.061,32.061
16-Dec-2011 23:00:00,201112162300,16-Dec-2011 23:00:00,-0,1.59505,2.5077,32.896,32.896
16-Dec-2011 23:30:00,201112162330,16-Dec-2011 23:30:00,-0.092322,1.8165,1.7242,NaN,16.694
17-Dec-2011 00:00:00,201112170000,17-Dec-2011 00:00:00,-0.043551,1.54776,1.5042,NaN,33.629
17-Dec-2011 00:30:00,201112170030,17-Dec-2011 00:30:00,-0,1.52511,1.7384,87.881,87.881
17-Dec-2011 01:00:00,201112170100,17-Dec-2011 01:00:00,-0,1.80776,2.3188,NaN,14.847
17-Dec-2011 01:30:00,201112170130,17-Dec-2011 01:30:00,-0,1.81088,2.1304,NaN,12.551
17-Dec-2011 02:00:00,201112170200,17-Dec-2011 02:00:00,-0.23829,1.79965,1.5614,NaN,17.21
17-Dec-2011 02:30:00,201112170230,17-Dec-2011 02:30:00,-0.3886,1.79777,1.4092,NaN,17.21
17-Dec-2011 03:00:00,201112170300,17-Dec-2011 03:00:00,-0.16982,1.79965,1.6298,NaN,17.21
17-Dec-2011 03:30:00,201112170330,17-Dec-2011 03:30:00,-0.14369,1.78655,1.6429,NaN,14.847
17-Dec-2011 04:00:00,201112170400,17-Dec-2011 04:00:00,-0,1.78904,1.8803,NaN,14.847
17-Dec-2011 04:30:00,201112170430,17-Dec-2011 04:30:00,-0.060348,1.76474,1.7044,NaN,22.274
17-Dec-2011 05:00:00,201112170500,17-Dec-2011 05:00:00,-0.47346,1.75665,1.2832,NaN,22.268
17-Dec-2011 05:30:00,201112170530,17-Dec-2011 05:30:00,-0.25083,1.4587,1.2079,NaN,39.151
17-Dec-2011 06:00:00,201112170600,17-Dec-2011 06:00:00,-0,1.4496,1.9165,NaN,40.789
17-Dec-2011 06:30:00,201112170630,17-Dec-2011 06:30:00,-0,1.43566,2.196,NaN,42.002
17-Dec-2011 07:00:00,201112170700,17-Dec-2011 07:00:00,-0,1.42719,1.5427,27.98,27.98
17-Dec-2011 07:30:00,201112170730,17-Dec-2011 07:30:00,-0.22825,1.43142,1.2032,38.53,38.53
17-Dec-2011 08:00:00,201112170800,17-Dec-2011 08:00:00,-0,1.43505,1.8718,NaN,22.633
17-Dec-2011 08:30:00,201112170830,17-Dec-2011 08:30:00,-0,1.40786,1.6188,21.924,21.924
17-Dec-2011 09:00:00,201112170900,17-Dec-2011 09:00:00,-0.12256,1.37955,1.257,87.775,87.775
17-Dec-2011 09:30:00,201112170930,17-Dec-2011 09:30:00,-0,1.42961,1.8459,41.214,41.214
17-Dec-2011 10:00:00,201112171000,17-Dec-2011 10:00:00,-0.6777,1.51778,0.84008,NaN,29.59
17-Dec-2011 10:30:00,201112171030,17-Dec-2011 10:30:00,-0.80343,1.51778,0.71435,-9.924,-9.924
17-Dec-2011 11:00:00,201112171100,17-Dec-2011 11:00:00,-1.3061,1.53551,0.22939,30.385,30.385
17-Dec-2011 11:30:00,201112171130,17-Dec-2011 11:30:00,-2.0897,1.57353,-0.51614,NaN,15.725
17-Dec-2011 12:00:00,201112171200,17-Dec-2011 12:00:00,-1.0282,1.57168,0.54346,NaN,15.725
17-Dec-2011 12:30:00,201112171230,17-Dec-2011 12:30:00,-0,1.59566,1.9978,NaN,17.554
17-Dec-2011 13:00:00,201112171300,17-Dec-2011 13:00:00,-1.4895,1.6382,0.14872,NaN,18.845
17-Dec-2011 13:30:00,201112171330,17-Dec-2011 13:30:00,-2.4001,1.65983,-0.74029,NaN,20.854
17-Dec-2011 14:00:00,201112171400,17-Dec-2011 14:00:00,-3.1762,1.6654,-1.5108,NaN,33.104
17-Dec-2011 14:30:00,201112171430,17-Dec-2011 14:30:00,-2.1632,1.66726,-0.49591,NaN,27.461
17-Dec-2011 15:00:00,201112171500,17-Dec-2011 15:00:00,-2.3413,1.67221,-0.66912,30.539,30.539
17-Dec-2011 15:30:00,201112171530,17-Dec-2011 15:30:00,-1.4424,1.66231,0.21987,31.068,31.068
17-Dec-2011 16:00:00,201112171600,17-Dec-2011 16:00:00,-0.68242,1.63697,0.95454,37.501,37.501
17-Dec-2011 16:30:00,201112171630,17-Dec-2011 16:30:00,-0,1.56186,1.6159,22.637,22.637
17-Dec-2011 17:00:00,201112171700,17-Dec-2011 17:00:00,-0,1.47814,2.3235,65.553,65.553
17-Dec-2011 17:30:00,201112171730,17-Dec-2011 17:30:00,-0.036597,1.44899,1.4124,NaN,40.789
17-Dec-2011 18:00:00,201112171800,17-Dec-2011 18:00:00,-0.037252,1.42054,1.3833,NaN,43
17-Dec-2011 18:30:00,201112171830,17-Dec-2011 18:30:00,-0.049672,1.40605,1.3564,NaN,43.319
17-Dec-2011 19:00:00,201112171900,17-Dec-2011 19:00:00,-0.039256,1.39279,1.3535,NaN,43.319
17-Dec-2011 19:30:00,201112171930,17-Dec-2011 19:30:00,-0.045461,1.38256,1.3371,NaN,44.136
17-Dec-2011 20:00:00,201112172000,17-Dec-2011 20:00:00,-0.041853,1.37895,1.3371,NaN,44.136
17-Dec-2011 20:30:00,201112172030,17-Dec-2011 20:30:00,-0.012967,1.37114,1.3582,NaN,94.38
17-Dec-2011 21:00:00,201112172100,17-Dec-2011 21:00:00,-0,1.34657,1.441,NaN,111.9
17-Dec-2011 21:30:00,201112172130,17-Dec-2011 21:30:00,-0,1.32208,1.4562,NaN,111.47
17-Dec-2011 22:00:00,201112172200,17-Dec-2011 22:00:00,-0,1.31315,1.4683,NaN,58.701
17-Dec-2011 22:30:00,201112172230,17-Dec-2011 22:30:00,-0,1.28819,1.4916,NaN,69.982
17-Dec-2011 23:00:00,201112172300,17-Dec-2011 23:00:00,-0,1.27871,1.4655,NaN,69.982
17-Dec-2011 23:30:00,201112172330,17-Dec-2011 23:30:00,-0,1.26807,1.4728,NaN,74.232
18-Dec-2011 00:00:00,201112180000,18-Dec-2011 00:00:00,-0,1.25213,1.4588,NaN,51.033
18-Dec-2011 00:30:00,201112180030,18-Dec-2011 00:30:00,-0,1.22391,1.5297,NaN,47.04
18-Dec-2011 01:00:00,201112180100,18-Dec-2011 01:00:00,-0,1.20576,1.604,NaN,47.04
18-Dec-2011 01:30:00,201112180130,18-Dec-2011 01:30:00,-0,1.1935,1.6834,NaN,30.425
18-Dec-2011 02:00:00,201112180200,18-Dec-2011 02:00:00,-0,1.17546,2.2603,NaN,41.373
18-Dec-2011 02:30:00,201112180230,18-Dec-2011 02:30:00,-0,1.17314,2.2603,NaN,41.373
18-Dec-2011 03:00:00,201112180300,18-Dec-2011 03:00:00,-0,1.16154,2.4863,NaN,41.373
18-Dec-2011 03:30:00,201112180330,18-Dec-2011 03:30:00,-0,1.14997,2.6457,NaN,41.373
18-Dec-2011 04:00:00,201112180400,18-Dec-2011 04:00:00,-0,1.13669,3.1019,NaN,27.879
18-Dec-2011 04:30:00,201112180430,18-Dec-2011 04:30:00,-0,1.11829,3.1019,NaN,27.879
18-Dec-2011 05:00:00,201112180500,18-Dec-2011 05:00:00,-0,1.11714,3.1019,NaN,27.879
18-Dec-2011 05:30:00,201112180530,18-Dec-2011 05:30:00,-0,1.10625,3.1019,NaN,27.879
18-Dec-2011 06:00:00,201112180600,18-Dec-2011 06:00:00,-0,1.08855,3.9748,NaN,29.458
18-Dec-2011 06:30:00,201112180630,18-Dec-2011 06:30:00,-0,1.08684,3.9748,NaN,29.458
18-Dec-2011 07:00:00,201112180700,18-Dec-2011 07:00:00,-2.3603,1.17314,-1.1871,NaN,17.923
18-Dec-2011 07:30:00,201112180730,18-Dec-2011 07:30:00,-0,1.28049,3.4965,NaN,40.552
18-Dec-2011 08:00:00,201112180800,18-Dec-2011 08:00:00,-0,1.3388,3.9223,NaN,52.756
18-Dec-2011 08:30:00,201112180830,18-Dec-2011 08:30:00,-0,1.35076,4.3125,80.493,80.493
18-Dec-2011 09:00:00,201112180900,18-Dec-2011 09:00:00,-0,1.36994,1.5286,31.706,31.706
18-Dec-2011 09:30:00,201112180930,18-Dec-2011 09:30:00,-2.4855,1.45506,-1.0304,NaN,26.412
18-Dec-2011 10:00:00,201112181000,18-Dec-2011 10:00:00,-2.5764,1.56002,-1.0164,NaN,27.705
18-Dec-2011 10:30:00,201112181030,18-Dec-2011 10:30:00,-2.1433,1.59874,-0.5446,NaN,16.5
18-Dec-2011 11:00:00,201112181100,18-Dec-2011 11:00:00,-1.2557,1.66045,0.40475,NaN,16.006
18-Dec-2011 11:30:00,201112181130,18-Dec-2011 11:30:00,-1.5413,1.68956,0.14824,NaN,14.868
18-Dec-2011 12:00:00,201112181200,18-Dec-2011 12:00:00,-0,1.71127,2.3226,NaN,14.868
18-Dec-2011 12:30:00,201112181230,18-Dec-2011 12:30:00,-0.39907,1.74234,1.3433,NaN,14.868
18-Dec-2011 13:00:00,201112181300,18-Dec-2011 13:00:00,-1.0976,1.7498,0.65222,NaN,19.901
18-Dec-2011 13:30:00,201112181330,18-Dec-2011 13:30:00,-1.517,1.75602,0.23904,NaN,20.011
18-Dec-2011 14:00:00,201112181400,18-Dec-2011 14:00:00,-2.2237,1.7635,-0.46022,NaN,14.331
18-Dec-2011 14:30:00,201112181430,18-Dec-2011 14:30:00,-2.699,1.75851,-0.94047,NaN,16.037
18-Dec-2011 15:00:00,201112181500,18-Dec-2011 15:00:00,-2.8476,1.76163,-1.086,NaN,37.565
18-Dec-2011 15:30:00,201112181530,18-Dec-2011 15:30:00,-1.2347,1.74482,0.51014,NaN,22.834
18-Dec-2011 16:00:00,201112181600,18-Dec-2011 16:00:00,-1.2092,1.63511,0.42594,NaN,29.156
18-Dec-2011 16:30:00,201112181630,18-Dec-2011 16:30:00,-0,1.51655,1.7458,NaN,38.614
18-Dec-2011 17:00:00,201112181700,18-Dec-2011 17:00:00,-0.10738,1.45627,1.3489,NaN,89.562
18-Dec-2011 17:30:00,201112181730,18-Dec-2011 17:30:00,-0.052677,1.40424,1.3516,NaN,73.052
18-Dec-2011 18:00:00,201112181800,18-Dec-2011 18:00:00,-0.69888,1.39761,0.69873,29.88,29.88
18-Dec-2011 18:30:00,201112181830,18-Dec-2011 18:30:00,-0.057827,1.38617,1.3283,NaN,74.266
18-Dec-2011 19:00:00,201112181900,18-Dec-2011 19:00:00,-0.047801,1.39279,1.345,NaN,73.052
18-Dec-2011 19:30:00,201112181930,18-Dec-2011 19:30:00,-0.033586,1.37174,1.3382,NaN,75.417
18-Dec-2011 20:00:00,201112182000,18-Dec-2011 20:00:00,-0.018802,1.36154,1.3427,NaN,79.931
18-Dec-2011 20:30:00,201112182030,18-Dec-2011 20:30:00,-0,1.2598,1.4706,NaN,74.232
18-Dec-2011 21:00:00,201112182100,18-Dec-2011 21:00:00,-0,1.23271,1.4939,NaN,47.635
18-Dec-2011 21:30:00,201112182130,18-Dec-2011 21:30:00,-0,1.22039,1.5297,NaN,47.04
18-Dec-2011 22:00:00,201112182200,18-Dec-2011 22:00:00,-0,1.21395,1.576,NaN,47.04
18-Dec-2011 22:30:00,201112182230,18-Dec-2011 22:30:00,-0,1.18244,1.7861,NaN,30.425
18-Dec-2011 23:00:00,201112182300,18-Dec-2011 23:00:00,-0,1.16734,1.6951,NaN,50.676
18-Dec-2011 23:30:00,201112182330,18-Dec-2011 23:30:00,-0,1.15228,2.6457,NaN,41.373
19-Dec-2011 00:00:00,201112190000,19-Dec-2011 00:00:00,-0,1.15286,2.6457,NaN,41.373
19-Dec-2011 00:30:00,201112190030,19-Dec-2011 00:30:00,-0,1.14939,2.6457,NaN,41.373
19-Dec-2011 01:00:00,201112190100,19-Dec-2011 01:00:00,-0,1.15575,2.4863,NaN,41.373
19-Dec-2011 01:30:00,201112190130,19-Dec-2011 01:30:00,-0,1.12633,3.1019,NaN,27.879
19-Dec-2011 02:00:00,201112190200,19-Dec-2011 02:00:00,-0,1.13958,3.1019,NaN,27.879
19-Dec-2011 02:30:00,201112190230,19-Dec-2011 02:30:00,-0,1.14015,3.1019,NaN,27.879
19-Dec-2011 03:00:00,201112190300,19-Dec-2011 03:00:00,-0,1.14188,2.6457,NaN,41.373
19-Dec-2011 03:30:00,201112190330,19-Dec-2011 03:30:00,-0,1.16676,2.2603,NaN,41.373
19-Dec-2011 04:00:00,201112190400,19-Dec-2011 04:00:00,-0,1.18302,1.7861,NaN,30.425
19-Dec-2011 04:30:00,201112190430,19-Dec-2011 04:30:00,-0,1.17488,2.2603,NaN,41.373
19-Dec-2011 05:00:00,201112190500,19-Dec-2011 05:00:00,-0,1.1836,1.7861,NaN,30.425
19-Dec-2011 05:30:00,201112190530,19-Dec-2011 05:30:00,-0,1.1935,2.3238,48.791,48.791
19-Dec-2011 06:00:00,201112190600,19-Dec-2011 06:00:00,-0,1.20635,5.6259,NaN,47.04
19-Dec-2011 06:30:00,201112190630,19-Dec-2011 06:30:00,-0,1.23977,1.3559,NaN,53.678
19-Dec-2011 07:00:00,201112190700,19-Dec-2011 07:00:00,-1.7999,1.27043,-0.52952,NaN,23.805
19-Dec-2011 07:30:00,201112190730,19-Dec-2011 07:30:00,-0,1.36034,1.6558,NaN,19.527
19-Dec-2011 08:00:00,201112190800,19-Dec-2011 08:00:00,-1.137,1.50312,0.36615,NaN,43.126
19-Dec-2011 08:30:00,201112190830,19-Dec-2011 08:30:00,-0.6623,1.55695,0.89466,5.145,5.145
19-Dec-2011 09:00:00,201112190900,19-Dec-2011 09:00:00,-0.37079,1.64191,1.2711,NaN,30.924
19-Dec-2011 09:30:00,201112190930,19-Dec-2011 09:30:00,-3.4831,1.74109,-1.742,NaN,30.109
19-Dec-2011 10:00:00,201112191000,19-Dec-2011 10:00:00,-1.9741,1.86525,-0.10888,25.935,25.935
19-Dec-2011 10:30:00,201112191030,19-Dec-2011 10:30:00,-2.3773,1.94232,-0.43503,7.22,7.22
19-Dec-2011 11:00:00,201112191100,19-Dec-2011 11:00:00,-3.4669,1.94796,-1.519,NaN,24.922
19-Dec-2011 11:30:00,201112191130,19-Dec-2011 11:30:00,-2.1852,1.97118,-0.21401,NaN,22.194
19-Dec-2011 12:00:00,201112191200,19-Dec-2011 12:00:00,-3.7116,1.97872,-1.7329,24.726,24.726
19-Dec-2011 12:30:00,201112191230,19-Dec-2011 12:30:00,-3.2851,1.97997,-1.3051,25.117,25.117
19-Dec-2011 13:00:00,201112191300,19-Dec-2011 13:00:00,-2.4753,2.00887,-0.46645,NaN,16.578
19-Dec-2011 13:30:00,201112191330,19-Dec-2011 13:30:00,-2.9685,2.01767,-0.95079,NaN,22.445
19-Dec-2011 14:00:00,201112191400,19-Dec-2011 14:00:00,-3.6329,1.99128,-1.6417,NaN,32.941
19-Dec-2011 14:30:00,201112191430,19-Dec-2011 14:30:00,-3.3397,2.00824,-1.3314,NaN,29.987
19-Dec-2011 15:00:00,201112191500,19-Dec-2011 15:00:00,-2.1195,1.91849,-0.20099,36.058,36.058
19-Dec-2011 15:30:00,201112191530,19-Dec-2011 15:30:00,-1.2291,1.869,0.63987,39.761,39.761
19-Dec-2011 16:00:00,201112191600,19-Dec-2011 16:00:00,-0.70786,1.81712,1.1093,39.308,39.308
19-Dec-2011 16:30:00,201112191630,19-Dec-2011 16:30:00,-0.65966,1.77284,1.1132,31.215,31.215
19-Dec-2011 17:00:00,201112191700,19-Dec-2011 17:00:00,-0.2952,1.73239,1.4372,27.353,27.353
19-Dec-2011 17:30:00,201112191730,19-Dec-2011 17:30:00,-0.21708,1.69328,1.4762,23.451,23.451
19-Dec-2011 18:00:00,201112191800,19-Dec-2011 18:00:00,-0.52114,1.66912,1.148,NaN,15.103
19-Dec-2011 18:30:00,201112191830,19-Dec-2011 18:30:00,-0.48451,1.63141,1.1469,29.848,29.848
19-Dec-2011 19:00:00,201112191900,19-Dec-2011 19:00:00,-0.83109,1.60551,0.77443,17.656,17.656
19-Dec-2011 19:30:00,201112191930,19-Dec-2011 19:30:00,-0.51584,1.59443,1.0786,29.768,29.768
19-Dec-2011 20:00:00,201112192000,19-Dec-2011 20:00:00,-0.027852,1.61352,1.5857,38.722,38.722
19-Dec-2011 20:30:00,201112192030,19-Dec-2011 20:30:00,-0.48764,1.65736,1.1697,28.178,28.178
19-Dec-2011 21:00:00,201112192100,19-Dec-2011 21:00:00,-0.26325,1.65922,1.396,21.394,21.394
19-Dec-2011 21:30:00,201112192130,19-Dec-2011 21:30:00,-0.53591,1.66169,1.1258,29.506,29.506
19-Dec-2011 22:00:00,201112192200,19-Dec-2011 22:00:00,-0.11481,1.68956,1.5747,24.853,24.853
19-Dec-2011 22:30:00,201112192230,19-Dec-2011 22:30:00,-0,1.69328,1.7285,16.972,16.972
19-Dec-2011 23:00:00,201112192300,19-Dec-2011 23:00:00,-0.18943,1.70134,1.5119,NaN,15.766
19-Dec-2011 23:30:00,201112192330,19-Dec-2011 23:30:00,-0.17506,1.68832,1.5133,30.663,30.663
20-Dec-2011 00:00:00,201112200000,20-Dec-2011 00:00:00,-0,1.69328,1.7011,NaN,16.172
20-Dec-2011 00:30:00,201112200030,20-Dec-2011 00:30:00,-0.060726,1.6685,1.6078,NaN,15.103
20-Dec-2011 01:00:00,201112200100,20-Dec-2011 01:00:00,-0.10763,1.645,1.5374,NaN,19.4
20-Dec-2011 01:30:00,201112200130,20-Dec-2011 01:30:00,-0.10502,1.64253,1.5375,NaN,19.4
20-Dec-2011 02:00:00,201112200200,20-Dec-2011 02:00:00,-0.042647,1.62462,1.582,NaN,22.789
20-Dec-2011 02:30:00,201112200230,20-Dec-2011 02:30:00,-0.061338,1.60859,1.5473,NaN,42.279
20-Dec-2011 03:00:00,201112200300,20-Dec-2011 03:00:00,-0.059725,1.57967,1.5199,NaN,44.114
20-Dec-2011 03:30:00,201112200330,20-Dec-2011 03:30:00,-0.061578,1.57476,1.5132,NaN,44.6
20-Dec-2011 04:00:00,201112200400,20-Dec-2011 04:00:00,-0.89647,1.97621,1.0797,NaN,42.691
20-Dec-2011 04:30:00,201112200430,20-Dec-2011 04:30:00,-0.061517,1.59874,1.5372,NaN,73.144
20-Dec-2011 05:00:00,201112200500,20-Dec-2011 05:00:00,-0.054961,1.61661,1.5616,NaN,42.81
20-Dec-2011 05:30:00,201112200530,20-Dec-2011 05:30:00,-0.039288,1.62216,1.5829,NaN,23.756
20-Dec-2011 06:00:00,201112200600,20-Dec-2011 06:00:00,-0.31158,2.05413,1.7426,NaN,42.144
20-Dec-2011 06:30:00,201112200630,20-Dec-2011 06:30:00,-0.52101,2.14788,1.6269,NaN,42.144
20-Dec-2011 07:00:00,201112200700,20-Dec-2011 07:00:00,-0.57299,2.18061,1.6076,NaN,40.881
20-Dec-2011 07:30:00,201112200730,20-Dec-2011 07:30:00,-0.032498,1.79715,1.7647,47.355,47.355
20-Dec-2011 08:00:00,201112200800,20-Dec-2011 08:00:00,-0,2.1183,2.7141,NaN,5.1565
20-Dec-2011 08:30:00,201112200830,20-Dec-2011 08:30:00,-0,1.90532,3.4464,NaN,4.9912
20-Dec-2011 09:00:00,201112200900,20-Dec-2011 09:00:00,-1.1557,1.96302,0.8073,25.729,25.729
20-Dec-2011 09:30:00,201112200930,20-Dec-2011 09:30:00,-0.72226,2.0051,1.2828,NaN,42.421
20-Dec-2011 10:00:00,201112201000,20-Dec-2011 10:00:00,-0.80469,2.12585,1.3212,33.426,33.426
20-Dec-2011 10:30:00,201112201030,20-Dec-2011 10:30:00,-1.0865,2.1076,1.0211,NaN,20.323
20-Dec-2011 11:00:00,201112201100,20-Dec-2011 11:00:00,-0.73339,2.20138,1.468,5.381,5.381
20-Dec-2011 11:30:00,201112201130,20-Dec-2011 11:30:00,-1.5197,2.18124,0.66158,NaN,37.58
20-Dec-2011 12:00:00,201112201200,20-Dec-2011 12:00:00,-0.97867,2.18502,1.2063,NaN,29.021
20-Dec-2011 12:30:00,201112201230,20-Dec-2011 12:30:00,-0.68389,2.30584,1.622,NaN,38.233
20-Dec-2011 13:00:00,201112201300,20-Dec-2011 13:00:00,-1.4472,2.33226,0.88504,NaN,41.03
20-Dec-2011 13:30:00,201112201330,20-Dec-2011 13:30:00,-1.2905,2.30647,1.016,15.009,15.009
20-Dec-2011 14:00:00,201112201400,20-Dec-2011 14:00:00,-1.5724,2.28446,0.7121,11.733,11.733
20-Dec-2011 14:30:00,201112201430,20-Dec-2011 14:30:00,-1.8796,2.2511,0.3715,NaN,5.1565
20-Dec-2011 15:00:00,201112201500,20-Dec-2011 15:00:00,-1.8384,2.24859,0.41024,NaN,5.1565
20-Dec-2011 15:30:00,201112201530,20-Dec-2011 15:30:00,-1.0756,2.19886,1.1232,14.124,14.124
20-Dec-2011 16:00:00,201112201600,20-Dec-2011 16:00:00,-1.8697,2.14725,0.27756,-3.811,-3.811
20-Dec-2011 16:30:00,201112201630,20-Dec-2011 16:30:00,-0.43195,2.09376,1.6618,NaN,40.814
20-Dec-2011 17:00:00,201112201700,20-Dec-2011 17:00:00,-0.84699,2.0315,1.1845,8.321,8.321
20-Dec-2011 17:30:00,201112201730,20-Dec-2011 17:30:00,-0,2.02144,2.6889,NaN,21.498
20-Dec-2011 18:00:00,201112201800,20-Dec-2011 18:00:00,-0,1.93855,2.1852,NaN,19.803
20-Dec-2011 18:30:00,201112201830,20-Dec-2011 18:30:00,-0,1.89405,2.1994,NaN,10.802
20-Dec-2011 19:00:00,201112201900,20-Dec-2011 19:00:00,-0,1.89217,2.2863,NaN,10.802
20-Dec-2011 19:30:00,201112201930,20-Dec-2011 19:30:00,-0,1.88591,2.8836,NaN,12.38
20-Dec-2011 20:00:00,201112202000,20-Dec-2011 20:00:00,-0,1.89593,2.1928,NaN,9.3814
20-Dec-2011 20:30:00,201112202030,20-Dec-2011 20:30:00,-0,1.90532,2.0889,45.375,45.375
20-Dec-2011 21:00:00,201112202100,20-Dec-2011 21:00:00,-0,1.90971,2.1835,NaN,3.9733
20-Dec-2011 21:30:00,201112202130,20-Dec-2011 21:30:00,-0,1.90031,2.9853,NaN,6.0984
20-Dec-2011 22:00:00,201112202200,20-Dec-2011 22:00:00,-0.22141,2.27565,2.0542,NaN,42.144
20-Dec-2011 22:30:00,201112202230,20-Dec-2011 22:30:00,-0,2.26998,2.9271,NaN,42.144
20-Dec-2011 23:00:00,201112202300,20-Dec-2011 23:00:00,-0.79433,2.27313,1.4788,NaN,42.144
20-Dec-2011 23:30:00,201112202330,20-Dec-2011 23:30:00,-0.21937,2.26306,2.0437,NaN,42.144
